Received Log:

[Feb 16, 2023 09:48:38] ASCII:
13789 total fuel pulse 	30.85 s	2.820 mL/min	4 counter	2659 total water pulse	0.0 % water	72.0% fuel
13790 total fuel pulse 	0.75 s	115.846 mL/min	5 counter	2660 total water pulse	10.0 % water	90.0% fuel
13791 total fuel pulse 	0.69 s	127.007 mL/min	1 counter	2660 total water pulse	0.0 % water	18.0% fuel
13792 total fuel pulse 	0.52 s	165.714 mL/min	2 counter	2660 total water pulse	0.0 % water	36.0% fuel
13793 total fuel pulse 	0.49 s	177.914 mL/min	3 counter	2660 total water pulse	0.0 % water	54.0% fuel
13794 total fuel pulse 	0.47 s	184.322 mL/min	4 counter	2660 total water pulse	0.0 % water	72.0% fuel
13795 total fuel pulse 	0.48 s	180.873 mL/min	5 counter	2661 total water pulse	10.0 % water	90.0% fuel
13796 total fuel pulse 	0.61 s	141.694 mL/min	1 counter	2661 total water pulse	0.0 % water	18.0% fuel
13797 total fuel pulse 	0.51 s	169.922 mL/min	2 counter	2661 total water pulse	0.0 % water	36.0% fuel
13798 total fuel pulse 	0.49 s	178.279 mL/min	3 counter	2661 total water pulse	0.0 % water	54.0% fuel
13799 total fuel pulse 	0.50 s	172.619 mL/min	4 counter	2661 total water pulse	0.0 % water	72.0% fuel
13800 total fuel pulse 	0.49 s	176.829 mL/min	5 counter	2662 total water pulse	10.0 % water	90.0% fuel
13801 total fuel pulse 	0.62 s	139.647 mL/min	1 counter	2662 total water pulse	0.0 % water	18.0% fuel
13802 total fuel pulse 	0.51 s	169.261 mL/min	2 counter	2662 total water pulse	0.0 % water	36.0% fuel
13803 total fuel pulse 	0.47 s	184.713 mL/min	3 counter	2662 total water pulse	0.0 % water	54.0% fuel
13804 total fuel pulse 	0.50 s	173.653 mL/min	4 counter	2662 total water pulse	0.0 % water	72.0% fuel
13805 total fuel pulse 	0.57 s	152.900 mL/min	5 counter	2663 total water pulse	10.0 % water	90.0% fuel
13806 total fuel pulse 	1.48 s	58.704 mL/min	1 counter	2663 total water pulse	0.0 % water	18.0% fuel
13807 total fuel pulse 	2.09 s	41.707 mL/min	2 counter	2663 total water pulse	0.0 % water	36.0% fuel
13808 total fuel pulse 	1.19 s	73.356 mL/min	3 counter	2663 total water pulse	0.0 % water	54.0% fuel
13809 total fuel pulse 	1.11 s	78.097 mL/min	4 counter	2663 total water pulse	0.0 % water	72.0% fuel
13810 total fuel pulse 	1.27 s	68.612 mL/min	5 counter	2664 total water pulse	10.0 % water	90.0% fuel
13811 total fuel pulse 	1.84 s	47.308 mL/min	1 counter	2664 total water pulse	0.0 % water	18.0% fuel
13812 total fuel pulse 	1.71 s	50.758 mL/min	2 counter	2664 total water pulse	0.0 % water	36.0% fuel
13813 total fuel pulse 	1.66 s	52.410 mL/min	3 counter	2664 total water pulse	0.0 % water	54.0% fuel
13814 total fuel pulse 	1.65 s	52.759 mL/min	4 counter	2664 total water pulse	0.0 % water	72.0% fuel
13815 total fuel pulse 	1.34 s	64.829 mL/min	5 counter	2665 total water pulse	10.0 % water	90.0% fuel
13816 total fuel pulse 	1.56 s	55.805 mL/min	1 counter	2665 total water pulse	10.0 % water	18.0% fuel
13817 total fuel pulse 	1.21 s	71.960 mL/min	2 counter	2665 total water pulse	0.0 % water	36.0% fuel
13818 total fuel pulse 	1.32 s	66.009 mL/min	3 counter	2665 total water pulse	0.0 % water	54.0% fuel
13819 total fuel pulse 	1.41 s	61.790 mL/min	4 counter	2665 total water pulse	0.0 % water	72.0% fuel
13820 total fuel pulse 	1.40 s	62.010 mL/min	5 counter	2666 total water pulse	10.0 % water	90.0% fuel
13821 total fuel pulse 	1.99 s	43.631 mL/min	1 counter	2666 total water pulse	10.0 % water	18.0% fuel
13822 total fuel pulse 	1.69 s	51.479 mL/min	2 counter	2666 total water pulse	0.0 % water	36.0% fuel
13823 total fuel pulse 	2.00 s	43.609 mL/min	3 counter	2666 total water pulse	0.0 % water	54.0% fuel
